index,id,lat,lon
125,U3RvcDoxOmRlOjExMDAwOjkwMDAxODEwMTo6MQ,52.536186,13.293646
126,U3RvcDoxOmRlOjExMDAwOjkwMDAxODEwMTo6Mg,52.536296,13.293668
127,U3RvcDoxOmRlOjExMDAwOjkwMDAxODEwMjo6MQ,52.536571,13.286271
128,U3RvcDoxOmRlOjExMDAwOjkwMDAxODEwMjo6Mg,52.536684,13.286264
129,U3RvcDoxOmRlOjExMDAwOjkwMDAxOTIwNDo6MQ,52.526226,13.304790
130,U3RvcDoxOmRlOjExMDAwOjkwMDAxOTIwNDo6Mg,52.526297,13.304975
131,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMToxOjUw,52.530192,13.299447
132,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMToxOjUx,52.530287,13.299397
133,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMToyOjUy,52.530363,13.299325
134,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMToyOjUz,52.530446,13.299292
135,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMTo6MQ,52.530790,13.300631
136,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMTo6Mg,52.530749,13.300635
137,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMjoxOjUw,52.534359,13.329406
138,U3RvcDoxOmRlOjExMDAwOjkwMDAyMDIwMjoxOjUx,52.534452,13.329361
139,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjEwMTo6MQ,52.510895,13.295820
140,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjEwMTo6Mg,52.510851,13.295832
141,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjIwMTo6MQ,52.511944,13.310510
142,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjIwMTo6Mg,52.511753,13.310546
143,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjIwMTo6Mw,52.511815,13.310534
144,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjIwMjo6MQ,52.516645,13.306512
145,U3RvcDoxOmRlOjExMDAwOjkwMDAyMjIwMjo6Mg,52.516650,13.306699
146,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzEwMTo6MQ,52.511784,13.322175
147,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzEwMTo6Mg,52.511744,13.322077
148,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMToxOjUw,52.507620,13.332927
149,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMToxOjUx,52.507654,13.332804
150,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMToyOjUy,52.507679,13.332686
151,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMToyOjUz,52.507716,13.332555
152,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTozOjU0,52.507031,13.331849
153,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTozOjU1,52.507068,13.331736
154,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTo6MQ,52.505941,13.333055
155,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTo6Mg,52.505905,13.333009
156,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTo6Mw,52.506825,13.332797
157,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMTo6NA,52.506776,13.332991
158,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMjo6MQ,52.500386,13.336350
159,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMjo6Mg,52.500362,13.336425
160,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMzo6MQ,52.504056,13.332587
161,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMzo6Mg,52.504021,13.332605
162,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMzo6Mw,52.503123,13.331243
163,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzIwMzo6NA,52.503114,13.331398
164,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzMwMTo6MQ,52.502907,13.326947
165,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzMwMTo6Mg,52.502809,13.327015
166,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzMwMjo6MQ,52.499998,13.307175
167,U3RvcDoxOmRlOjExMDAwOjkwMDAyMzMwMjo6Mg,52.499990,13.307401
168,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMToxOjUw,52.504033,13.301903
169,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMToxOjUx,52.504098,13.301861
170,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMToyOjUy,52.504175,13.301819
171,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMToyOjUz,52.504239,13.301782
172,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMTozOjU0,52.504929,13.304487
173,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMTozOjU1,52.504988,13.304449
174,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMTo0OjU2,52.505070,13.304390
175,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMTo0OjU3,52.505135,13.304349
176,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjoxOjUw,52.501095,13.284364
177,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjoxOjUx,52.501013,13.284448
178,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjoyOjUy,52.500888,13.284590
179,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjoyOjUz,52.500813,13.284665
